clbB	k141_3	100.000	9612	0	0	1	9612	18972	28583	0.0	17751
clbC	k141_3	100.000	2575	0	0	1	2575	16334	18908	0.0	4756
clbD	k141_3	100.000	886	0	0	1	886	15441	16326	0.0	1637
clbE	k141_3	100.000	231	0	0	1	231	15175	15405	1.92e-122	427
clbF	k141_3	100.000	1102	0	0	1	1102	14045	15146	0.0	2036
clbG	k141_3	100.000	1305	0	0	1	1305	12747	14051	0.0	2410
clbH	k141_3	100.000	4765	0	0	1	4765	7947	12711	0.0	8800
clbI	k141_3	100.000	3023	0	0	1	3023	4840	7862	0.0	5583
clbJ	k141_3	100.000	4881	0	0	1764	6644	1	4881	0.0	9014
clbJ	k141_1	99.918	1218	1	0	687	1904	1	1218	0.0	2244
clbJ	k141_0	100.000	827	0	0	1	827	827	1	0.0	1528
clbJ	k141_0	85.437	412	42	17	1764	2166	4717	4315	1.65e-116	412
clbJ	k141_2	100.000	141	0	0	687	827	141	1	6.34e-71	261
clbK	k141_0	100.000	3961	0	0	2541	6501	4717	757	0.0	7315
clbK	k141_0	100.000	141	0	0	1464	1604	141	1	6.20e-71	261
clbK	k141_2	100.000	1604	0	0	1	1604	1604	1	0.0	2963
clbK	k141_1	100.000	1218	0	0	1464	2681	1	1218	0.0	2250
clbK	k141_3	85.610	410	39	18	2541	2940	1	400	1.62e-116	412
clbL	k141_2	100.000	1457	0	0	1	1457	3040	1584	0.0	2691
clbM	k141_2	100.000	1458	0	0	1	1458	4565	3108	0.0	2693
clbN	k141_2	100.000	4367	0	0	1	4367	8918	4552	0.0	8065
clbO	k141_2	100.000	2470	0	0	1	2470	11402	8933	0.0	4562
clbP	k141_2	100.000	1500	0	0	1	1500	12923	11424	0.0	2771
clbQ	k141_2	100.000	711	0	0	1	711	13648	12938	0.0	1314
clbS	k141_2	100.000	516	0	0	1	516	14192	13677	0.0	953
